======================================================================
Phase 1: CMA-ES Optimization (Seed: 650)
======================================================================
CMA Gen 1: Loss=2.675780e+03 (Deg=1.844504e+01, PenRe=7.21e+01, PenIm=6.08e+01)
CMA Gen 10: Loss=1.568845e+03 (Deg=7.140399e+01, PenRe=3.68e+01, PenIm=3.81e+01)
CMA Gen 20: Loss=1.434036e+03 (Deg=3.267642e+01, PenRe=0.00e+00, PenIm=7.01e+01)
CMA Gen 30: Loss=1.407852e+03 (Deg=5.029578e+01, PenRe=0.00e+00, PenIm=6.79e+01)
CMA Gen 40: Loss=1.403202e+03 (Deg=1.722004e+01, PenRe=0.00e+00, PenIm=6.93e+01)
CMA Gen 50: Loss=1.358705e+03 (Deg=1.434698e+01, PenRe=0.00e+00, PenIm=6.72e+01)
CMA Gen 60: Loss=1.306444e+03 (Deg=2.314543e+01, PenRe=0.00e+00, PenIm=6.42e+01)
CMA Gen 70: Loss=1.253563e+03 (Deg=4.739059e+01, PenRe=0.00e+00, PenIm=6.03e+01)
CMA Gen 80: Loss=1.218235e+03 (Deg=5.575231e+01, PenRe=0.00e+00, PenIm=5.81e+01)
CMA Gen 90: Loss=1.187311e+03 (Deg=8.079885e+01, PenRe=0.00e+00, PenIm=5.53e+01)
CMA Gen 100: Loss=1.145914e+03 (Deg=5.721161e+01, PenRe=0.00e+00, PenIm=5.44e+01)
CMA Gen 110: Loss=1.139859e+03 (Deg=7.075591e+01, PenRe=0.00e+00, PenIm=5.35e+01)
CMA Gen 120: Loss=1.136023e+03 (Deg=6.657264e+01, PenRe=0.00e+00, PenIm=5.35e+01)
CMA Gen 130: Loss=1.135718e+03 (Deg=6.628851e+01, PenRe=0.00e+00, PenIm=5.35e+01)
CMA Gen 140: Loss=1.135665e+03 (Deg=6.756277e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 150: Loss=1.135662e+03 (Deg=6.761932e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 160: Loss=1.135662e+03 (Deg=6.764810e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 170: Loss=1.135662e+03 (Deg=6.765621e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 180: Loss=1.135662e+03 (Deg=6.765189e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 190: Loss=1.135662e+03 (Deg=6.765270e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 200: Loss=1.135662e+03 (Deg=6.765270e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 210: Loss=1.135662e+03 (Deg=6.765270e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 220: Loss=1.135662e+03 (Deg=6.765270e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 230: Loss=1.135662e+03 (Deg=6.765330e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 240: Loss=1.135662e+03 (Deg=6.765330e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 250: Loss=1.135662e+03 (Deg=6.765330e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 260: Loss=1.135662e+03 (Deg=6.765330e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 270: Loss=1.135662e+03 (Deg=6.765330e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 280: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 290: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 300: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 310: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 320: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 330: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 340: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 350: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 360: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 370: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 380: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 390: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 400: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 410: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 420: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 430: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 440: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 450: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 460: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 470: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 480: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 490: Loss=1.135662e+03 (Deg=6.765384e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 500: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 510: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 520: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 530: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 540: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 550: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 560: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 570: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 580: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
