======================================================================
Phase 1: DE Optimization (Control_N Algorithm) - Seed 812
======================================================================
Using workers=20
DE Iter   100: Loss=1.323038e+03 (Spread=6.050226e+01, PenIm=1.26e+03, convergence=0.000e+00)
DE Iter   200: Loss=4.056596e+01 (Spread=4.056596e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   300: Loss=9.409286e+00 (Spread=9.409286e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   400: Loss=2.904214e+00 (Spread=2.904214e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   500: Loss=1.484537e+00 (Spread=1.484537e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   600: Loss=9.595603e-01 (Spread=9.595603e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   700: Loss=6.941189e-01 (Spread=6.941189e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   800: Loss=4.265904e-01 (Spread=4.265904e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   900: Loss=7.791829e-02 (Spread=7.791829e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1000: Loss=6.855354e-02 (Spread=6.855354e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1100: Loss=3.135130e-02 (Spread=3.135130e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1200: Loss=3.135130e-02 (Spread=3.135130e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1300: Loss=2.199899e-02 (Spread=2.199899e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1400: Loss=1.319738e-02 (Spread=1.319738e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1500: Loss=6.989779e-03 (Spread=6.989779e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1600: Loss=5.141299e-03 (Spread=5.141299e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1700: Loss=4.344200e-03 (Spread=4.344200e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1800: Loss=2.976657e-03 (Spread=2.976657e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1900: Loss=2.308332e-03 (Spread=2.308332e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2000: Loss=2.220851e-03 (Spread=2.220851e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2100: Loss=1.992320e-03 (Spread=1.992320e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2200: Loss=9.580505e-04 (Spread=9.580505e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2300: Loss=6.751058e-04 (Spread=6.751058e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2400: Loss=6.751058e-04 (Spread=6.751058e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2500: Loss=3.631455e-04 (Spread=3.631455e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2600: Loss=2.891895e-04 (Spread=2.891895e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2700: Loss=1.983613e-04 (Spread=1.983613e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2800: Loss=1.294504e-04 (Spread=1.294504e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2900: Loss=9.694460e-05 (Spread=9.694460e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3000: Loss=6.921775e-05 (Spread=6.921775e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3100: Loss=3.936124e-05 (Spread=3.936124e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3200: Loss=2.617195e-05 (Spread=2.617195e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3300: Loss=2.050878e-05 (Spread=2.050878e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3400: Loss=1.752429e-05 (Spread=1.752429e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3500: Loss=1.752429e-05 (Spread=1.752429e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3600: Loss=7.701462e-06 (Spread=7.701462e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3700: Loss=7.701462e-06 (Spread=7.701462e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3800: Loss=7.701462e-06 (Spread=7.701462e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3900: Loss=7.701462e-06 (Spread=7.701462e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4000: Loss=7.701462e-06 (Spread=7.701462e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4100: Loss=6.839578e-06 (Spread=6.839578e-06, PenIm=0.00e+00, convergence=0.000e+00)
